19107	5	9	19	27	35	2	3	2019/9/14
19108	24	27	28	31	34	4	8	2019/9/16
19109	2	7	8	20	25	11	12	2019/9/18
19110	1	19	23	24	30	4	5	2019/9/21
19111	6	15	20	23	27	8	10	2019/9/23
19112	3	10	16	21	33	5	6	2019/9/25
19113	3	11	27	34	35	1	2	2019/9/28
19114	3	5	7	20	23	4	11	2019/9/30
19115	1	18	21	28	32	5	12	2019/10/9
19116	2	10	16	21	23	2	12	2019/10/12
19117	1	18	21	25	35	7	8	2019/10/14
19118	2	3	13	19	26	2	3	2019/10/16
19119	3	6	9	23	34	2	11	2019/10/19
19120	6	15	17	22	25	1	9	2019/10/21
19121	1	2	3	7	17	4	10	2019/10/23
19122	5	19	25	31	33	10	11	2019/10/26
19123	3	13	15	26	30	5	12	2019/10/28
19124	7	17	26	27	30	6	12	2019/10/30
19125	5	8	9	14	34	2	5	2019/11/2
19126	5	9	16	18	30	4	7	2019/11/4
19127	4	7	8	11	16	9	11	2019/11/6
19128	20	21	25	34	35	3	12	2019/11/9
19129	10	13	18	23	30	6	12	2019/11/11
19130	1	13	20	21	26	4	10	2019/11/13
19131	5	6	14	27	29	6	10	2019/11/16
19132	3	5	6	13	18	10	12	2019/11/18
19133	3	12	24	27	34	1	12	2019/11/20
19134	5	6	7	14	17	10	11	2019/11/23
19135	4	5	19	25	26	1	11	2019/11/25
19136	3	16	20	26	29	3	9	2019/11/27
19137	3	5	12	13	26	7	12	2019/11/30
19138	4	6	7	20	29	2	4	2019/12/2
19139	1	5	7	8	11	6	10	2019/12/4
19140	3	7	8	25	27	3	5	2019/12/7
19141	2	10	20	21	35	1	12	2019/12/9
19142	3	4	26	29	33	6	7	2019/12/11
19143	4	22	23	24	32	6	12	2019/12/14
19144	2	5	20	28	31	2	11	2019/12/16
19145	5	9	19	22	32	3	5	2019/12/18
19146	10	11	26	33	34	1	6	2019/12/21
19147	9	12	19	22	33	7	8	2019/12/23
19148	3	4	7	11	30	8	9	2019/12/25
19149	1	2	7	33	35	6	10	2019/12/28
19150	7	11	12	16	33	5	7	2019/12/30
20001	17	25	26	32	34	4	7	2020/1/1
20002	3	7	18	25	30	2	7	2020/1/4
20003	23	25	26	30	34	3	7	2020/1/6
20004	17	20	21	29	30	5	9	2020/1/8
20005	6	10	33	34	35	1	3	2020/1/11
20006	9	22	25	31	32	8	12	2020/1/13
20007	2	10	19	24	30	5	8	2020/1/15
20008	14	17	19	24	32	1	6	2020/1/18
20009	19	29	31	34	35	6	10	2020/1/20
20010	1	8	13	24	32	2	9	2020/3/14
20011	2	13	19	22	23	2	7	2020/3/16
20012	1	6	18	32	34	1	3	2020/3/18
20013	1	4	5	11	35	3	9	2020/3/21
20014	3	7	9	17	21	3	6	2020/3/23
20015	1	7	23	24	26	3	7	2020/3/25
20016	4	8	19	31	35	1	2	2020/3/28
20017	1	6	7	9	10	2	11	2020/3/30
20018	9	14	16	24	26	4	12	2020/4/1
20019	1	12	22	23	33	1	12	2020/4/4
20020	8	10	12	26	32	5	9	2020/4/6
20021	10	12	24	31	33	4	9	2020/4/8
20022	4	14	20	28	35	2	3	2020/4/11
20023	4	11	23	26	30	1	6	2020/4/13
20024	3	5	6	24	30	3	7	2020/4/15
20025	2	14	21	22	26	5	7	2020/4/18
20026	3	15	26	32	34	8	12	2020/4/20
20027	4	7	20	25	32	3	9	2020/4/22
20028	4	5	28	34	35	1	8	2020/4/25
20029	11	14	17	22	30	7	9	2020/4/27
20030	1	8	17	27	30	5	6	2020/4/29
20031	1	2	5	15	21	4	5	2020/5/2
20032	2	3	9	16	32	3	4	2020/5/4
20033	7	19	20	31	34	5	8	2020/5/6
20034	11	13	20	27	31	2	4	2020/5/9
20035	10	11	22	26	28	2	4	2020/5/11
20036	1	5	11	12	26	2	7	2020/5/13
20037	1	4	10	11	14	2	5	2020/5/16
20038	4	15	20	22	24	1	9	2020/5/18
20039	1	5	15	22	31	2	9	2020/5/20
20040	2	17	20	28	29	1	7	2020/5/23
20041	7	13	20	29	34	4	7	2020/5/25
20042	3	4	5	11	22	5	6	2020/5/27
20043	12	13	17	31	32	1	6	2020/5/30
20044	1	3	22	28	30	2	5	2020/6/1
20045	2	9	16	23	27	3	8	2020/6/3
20046	15	24	27	30	34	4	12	2020/6/6
20047	4	18	27	28	30	3	10	2020/6/8
20048	3	9	10	15	16	7	9	2020/6/10
20049	3	11	15	22	30	8	10	2020/6/13
20050	3	14	16	22	34	2	6	2020/6/15
20051	2	7	9	19	33	1	7	2020/6/17
20052	9	11	26	28	35	6	7	2020/6/20
20053	2	15	18	21	27	3	6	2020/6/22
20054	11	14	15	19	20	3	7	2020/6/24
20055	3	4	12	18	34	10	12	2020/6/27
20056	3	11	25	29	34	3	6	2020/6/29
